,precision,recall,f1-score,support
0,0.8444444444444444,0.5135135135135135,0.6386554621848739,74.0
1,0.25,0.631578947368421,0.3582089552238806,19.0
accuracy,0.5376344086021505,0.5376344086021505,0.5376344086021505,0.5376344086021505
macro avg,0.5472222222222223,0.5725462304409672,0.4984322087043772,93.0
weighted avg,0.7229988052568697,0.5376344086021505,0.5813599392573592,93.0
