,precision,recall,f1-score,support
0,0.8478260869565217,0.527027027027027,0.65,74.0
1,0.2553191489361702,0.631578947368421,0.36363636363636365,19.0
accuracy,0.5483870967741935,0.5483870967741935,0.5483870967741935,0.5483870967741935
macro avg,0.5515726179463459,0.579302987197724,0.5068181818181818,93.0
weighted avg,0.7267762824147295,0.5483870967741935,0.5914956011730205,93.0
