,precision,recall,f1-score,support
0,0.4864864864864865,0.5806451612903226,0.5294117647058824,31.0
1,0.7678571428571429,0.6935483870967742,0.7288135593220338,62.0
accuracy,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236
macro avg,0.6271718146718147,0.6370967741935485,0.6291126620139581,93.0
weighted avg,0.6740669240669241,0.6559139784946236,0.6623462944499834,93.0
