,precision,recall,f1-score,support
0,0.47368421052631576,0.5806451612903226,0.5217391304347826,31.0
1,0.7636363636363637,0.6774193548387096,0.717948717948718,62.0
accuracy,0.6451612903225806,0.6451612903225806,0.6451612903225806,0.6451612903225806
macro avg,0.6186602870813397,0.6290322580645161,0.6198439241917503,93.0
weighted avg,0.6669856459330143,0.6451612903225806,0.6525455221107396,93.0
