,precision,recall,f1-score,support
0,0.5227272727272727,0.5348837209302325,0.5287356321839081,43.0
1,0.5918367346938775,0.58,0.5858585858585859,50.0
accuracy,0.5591397849462365,0.5591397849462365,0.5591397849462365,0.5591397849462365
macro avg,0.5572820037105751,0.5574418604651162,0.557297109021247,93.0
weighted avg,0.5598828974405011,0.5591397849462365,0.5594468976004014,93.0
