,precision,recall,f1-score,support
0,0.5714285714285714,0.46511627906976744,0.5128205128205128,43.0
1,0.603448275862069,0.7,0.6481481481481481,50.0
accuracy,0.5913978494623656,0.5913978494623656,0.5913978494623656,0.5913978494623656
macro avg,0.5874384236453202,0.5825581395348837,0.5804843304843305,93.0
weighted avg,0.5886434662852905,0.5913978494623656,0.5855773060074135,93.0
