,precision,recall,f1-score,support
0,0.5,0.4186046511627907,0.45569620253164556,43.0
1,0.5614035087719298,0.64,0.5981308411214953,50.0
accuracy,0.5376344086021505,0.5376344086021505,0.5376344086021505,0.5376344086021505
macro avg,0.5307017543859649,0.5293023255813953,0.5269135218265704,93.0
weighted avg,0.5330126391246934,0.5376344086021505,0.5322739652143604,93.0
