,precision,recall,f1-score,support
0,0.42857142857142855,0.1935483870967742,0.26666666666666666,31.0
1,0.6835443037974683,0.8709677419354839,0.7659574468085106,62.0
accuracy,0.6451612903225806,0.6451612903225806,0.6451612903225806,0.6451612903225806
macro avg,0.5560578661844484,0.532258064516129,0.5163120567375886,93.0
weighted avg,0.5985533453887883,0.6451612903225806,0.5995271867612293,93.0
