,precision,recall,f1-score,support
0,0.4883720930232558,0.45652173913043476,0.47191011235955055,46.0
1,0.5,0.5319148936170213,0.5154639175257731,47.0
accuracy,0.4946236559139785,0.4946236559139785,0.4946236559139785,0.4946236559139785
macro avg,0.4941860465116279,0.49421831637372804,0.4936870149426619,93.0
weighted avg,0.49424856214053514,0.4946236559139785,0.49392117518549095,93.0
