,precision,recall,f1-score,support
0,0.6346153846153846,0.5238095238095238,0.5739130434782609,63.0
1,0.2682926829268293,0.36666666666666664,0.30985915492957744,30.0
accuracy,0.4731182795698925,0.4731182795698925,0.4731182795698925,0.4731182795698925
macro avg,0.45145403377110693,0.4452380952380952,0.4418860992039192,93.0
weighted avg,0.5164467711674635,0.4731182795698925,0.4887343697528791,93.0
