,precision,recall,f1-score,support
0,0.810126582278481,0.8648648648648649,0.8366013071895425,74.0
1,0.2857142857142857,0.21052631578947367,0.24242424242424243,19.0
accuracy,0.7311827956989247,0.7311827956989247,0.7311827956989247,0.7311827956989247
macro avg,0.5479204339963833,0.5376955903271693,0.5395127748068924,93.0
weighted avg,0.702988586206226,0.7311827956989247,0.715210293957922,93.0
