,precision,recall,f1-score,support
0,0.8072289156626506,0.9054054054054054,0.8535031847133758,74.0
1,0.3,0.15789473684210525,0.20689655172413793,19.0
accuracy,0.7526881720430108,0.7526881720430108,0.7526881720430108,0.7526881720430108
macro avg,0.5536144578313253,0.5316500711237553,0.5301998682187569,93.0
weighted avg,0.7036015027853348,0.7526881720430108,0.7214007543177251,93.0
