,precision,recall,f1-score,support
0,0.4772727272727273,0.45652173913043476,0.4666666666666667,46.0
1,0.4897959183673469,0.5106382978723404,0.5,47.0
accuracy,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355
macro avg,0.4835343228200371,0.48358001850138754,0.48333333333333334,93.0
weighted avg,0.4836016518044168,0.4838709677419355,0.48351254480286743,93.0
