,precision,recall,f1-score,support
0,0.6617647058823529,0.7142857142857143,0.6870229007633588,63.0
1,0.28,0.23333333333333334,0.2545454545454545,30.0
accuracy,0.5591397849462365,0.5591397849462365,0.5591397849462365,0.5591397849462365
macro avg,0.4708823529411765,0.4738095238095238,0.47078417765440667,93.0
weighted avg,0.5386148007590132,0.5591397849462365,0.54751404714468,93.0
