,precision,recall,f1-score,support
0,0.6666666666666666,0.6984126984126984,0.6821705426356589,63.0
1,0.2962962962962963,0.26666666666666666,0.2807017543859649,30.0
accuracy,0.5591397849462365,0.5591397849462365,0.5591397849462365,0.5591397849462365
macro avg,0.48148148148148145,0.4825396825396825,0.4814361485108119,93.0
weighted avg,0.5471923536439666,0.5591397849462365,0.5526644819099511,93.0
