target_name,model,cv_f1_mean,cv_f1_std,validation_f1,validation_accuracy,validation_balanced_accuracy,test_f1,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_roc_auc
depression,random_forest,0.6082284315915378,0.04909311885238901,0.6428571428571429,0.574468085106383,0.5583333333333333,0.5981308411214953,0.5376344086021505,0.5293023255813953,0.5614035087719298,0.64,0.5255813953488372
depression,linear_svm,0.5771405835898052,0.08343216836829541,0.6415094339622641,0.5957446808510638,0.5898148148148148,0.5858585858585859,0.5591397849462365,0.5574418604651162,0.5918367346938775,0.58,
depression,logistic_regression,0.5695729007045179,0.10078188657542353,0.6415094339622641,0.5957446808510638,0.5898148148148148,0.5773195876288659,0.5591397849462365,0.5590697674418605,0.5957446808510638,0.56,0.5488372093023256
depression,hist_gradient_boosting,0.5940890688259108,0.0763378739056839,0.5714285714285714,0.48936170212765956,0.47129629629629627,0.6481481481481481,0.5913978494623656,0.5825581395348837,0.603448275862069,0.7,0.607906976744186
