target_name,model,cv_f1_mean,cv_f1_std,validation_f1,validation_accuracy,validation_balanced_accuracy,test_f1,test_accuracy,test_balanced_accuracy,test_precision,test_recall
anxiety,random_forest,0.7854640802344572,0.03276397992300321,0.825,0.7021276595744681,0.4714285714285714,0.7659574468085106,0.6451612903225806,0.532258064516129,0.6835443037974683,0.8709677419354839
depression,random_forest,0.6082284315915378,0.04909311885238901,0.6428571428571429,0.574468085106383,0.5583333333333333,0.5981308411214953,0.5376344086021505,0.5293023255813953,0.5614035087719298,0.64
overall_distress,random_forest,0.6191501952893834,0.027267575976672672,0.6785714285714286,0.6170212765957447,0.6034798534798534,0.5154639175257731,0.4946236559139785,0.49421831637372804,0.5,0.5319148936170213
ocd,linear_svm,0.3429108908227635,0.12291430342928845,0.43243243243243246,0.5531914893617021,0.5584415584415584,0.36363636363636365,0.5483870967741935,0.579302987197724,0.2553191489361702,0.631578947368421
insomnia,hist_gradient_boosting,0.37085736724988,0.11005311678724923,0.5142857142857142,0.6382978723404256,0.6118421052631579,0.2807017543859649,0.5591397849462365,0.4825396825396825,0.2962962962962963,0.26666666666666666
