timestamp,age,primary_streaming_service,hours_per_day,while_working,instrumentalist,composer,fav_genre,exploratory,foreign_languages,bpm,frequency_classical,frequency_country,frequency_edm,frequency_folk,frequency_gospel,frequency_hip_hop,frequency_jazz,frequency_k_pop,frequency_latin,frequency_lofi,frequency_metal,frequency_pop,frequency_r&b,frequency_rap,frequency_rock,frequency_video_game_music,anxiety,depression,insomnia,ocd,music_effects,permissions,genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity,combined_text,text_length,word_count,target_anxiety,target_depression,target_insomnia,target_ocd,overall_distress_score,target_overall_distress
10/30/2022 13:15:26,21.0,Spotify,2.0,Yes,No,No,r&b,Yes,Yes,147.0,Sometimes,Never,Sometimes,Rarely,Never,Never,Sometimes,Very frequently,Never,Sometimes,Rarely,Sometimes,Very frequently,Sometimes,Sometimes,Sometimes,7.0,6.0,4.0,6.0,Improve,I understand.,r&b,0.6237667264147493,0.5854382752313714,-8.214100632841935,0.0905580897684456,0.3012903824051651,0.0236310544189194,0.1953804499396422,0.5548403080074624,115.20872882905952,247254.4549511651,21.32370047920401,r&b Spotify Yes No No Yes Yes Improve I understand.,51,10,1,1,0,1,5.75,1
8/29/2022 3:47:32,29.0,Apple Music,1.5,Yes,No,Yes,rock,Yes,Yes,108.0,Rarely,Never,Sometimes,Never,Never,Rarely,Rarely,Never,Never,Never,Rarely,Very frequently,Very frequently,Very frequently,Very frequently,Never,8.0,7.0,1.0,2.0,Improve,I understand.,rock,0.4240306089223403,0.7956448261705754,-6.816771504503773,0.0785706453379858,0.1116020509951919,0.1661777954693459,0.2531357228860667,0.3977052926438367,126.66797978880956,250607.2123721902,15.943555749411669,rock Apple Music Yes No Yes Yes Yes Improve I understand.,57,11,1,1,0,0,4.5,1
8/29/2022 1:26:19,20.0,Other streaming service,0.7,No,No,No,rock,No,No,144.0,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Very frequently,Rarely,Never,Very frequently,Rarely,5.0,6.0,8.0,2.0,Improve,I understand.,rock,0.4240306089223403,0.7956448261705754,-6.816771504503773,0.0785706453379858,0.1116020509951919,0.1661777954693459,0.2531357228860667,0.3977052926438367,126.66797978880956,250607.2123721902,15.943555749411669,rock Other streaming service No No No No No Improve I understand.,65,12,1,1,1,0,5.25,1
8/28/2022 15:07:16,15.0,Spotify,8.0,Yes,No,No,rock,No,No,193.0,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Never,Never,Very frequently,Rarely,8.0,7.0,5.0,0.0,Improve,I understand.,rock,0.4240306089223403,0.7956448261705754,-6.816771504503773,0.0785706453379858,0.1116020509951919,0.1661777954693459,0.2531357228860667,0.3977052926438367,126.66797978880956,250607.2123721902,15.943555749411669,rock Spotify Yes No No No No Improve I understand.,50,10,1,1,1,0,5.0,1
8/28/2022 14:12:55,19.0,Spotify,5.0,No,Yes,Yes,rock,Yes,Yes,90.0,Rarely,Never,Never,Rarely,Never,Sometimes,Very frequently,Never,Very frequently,Rarely,Sometimes,Rarely,Sometimes,Rarely,Very frequently,Rarely,10.0,8.0,7.0,0.0,Improve,I understand.,rock,0.4240306089223403,0.7956448261705754,-6.816771504503773,0.0785706453379858,0.1116020509951919,0.1661777954693459,0.2531357228860667,0.3977052926438367,126.66797978880956,250607.2123721902,15.943555749411669,rock Spotify No Yes Yes Yes Yes Improve I understand.,53,10,1,1,1,0,6.25,1
9/3/2022 16:00:31,18.0,Spotify,2.0,No,Yes,No,rock,Yes,No,115.0,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Sometimes,Sometimes,Rarely,Rarely,Very frequently,Never,8.0,3.0,1.0,3.0,Improve,I understand.,rock,0.4240306089223403,0.7956448261705754,-6.816771504503773,0.0785706453379858,0.1116020509951919,0.1661777954693459,0.2531357228860667,0.3977052926438367,126.66797978880956,250607.2123721902,15.943555749411669,rock Spotify No Yes No Yes No Improve I understand.,51,10,1,0,0,0,3.75,0
8/29/2022 17:32:02,20.0,I do not use a streaming service.,2.0,Yes,No,No,rock,Yes,No,114.0,Rarely,Rarely,Never,Sometimes,Never,Never,Rarely,Never,Never,Never,Rarely,Sometimes,Rarely,Never,Very frequently,Sometimes,6.0,2.0,6.0,7.0,No effect,I understand.,rock,0.4240306089223403,0.7956448261705754,-6.816771504503773,0.0785706453379858,0.1116020509951919,0.1661777954693459,0.2531357228860667,0.3977052926438367,126.66797978880956,250607.2123721902,15.943555749411669,rock I do not use a streaming service. Yes No No Yes No No effect I understand.,79,17,1,0,1,1,5.25,1
8/29/2022 21:21:30,23.0,Spotify,1.0,No,Yes,No,rock,Yes,No,,Sometimes,Never,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Sometimes,Never,Never,Never,Very frequently,Never,1.0,0.0,1.0,0.0,Improve,I understand.,rock,0.4240306089223403,0.7956448261705754,-6.816771504503773,0.0785706453379858,0.1116020509951919,0.1661777954693459,0.2531357228860667,0.3977052926438367,126.66797978880956,250607.2123721902,15.943555749411669,rock Spotify No Yes No Yes No Improve I understand.,51,10,0,0,0,0,0.5,0
8/28/2022 11:08:51,16.0,Spotify,1.0,Yes,No,No,classical,No,No,75.0,Very frequently,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Rarely,0.0,0.0,0.0,0.0,No effect,I understand.,classical,0.448560264519839,0.4091773193953832,-11.705486568635504,0.0782269202333032,0.6149209882913005,0.0877842059566253,0.205567641501684,0.3908087899449602,114.97459804485337,219642.21859853776,17.554095128563215,classical Spotify Yes No No No No No effect I understand.,57,11,0,0,0,0,0.0,0
9/2/2022 3:32:55,60.0,Spotify,1.0,No,No,No,rock,Yes,No,129.0,Sometimes,Rarely,Never,Sometimes,Never,Never,Sometimes,Never,Never,Never,Never,Rarely,Rarely,Never,Sometimes,Never,3.0,2.0,5.0,0.0,No effect,I understand.,rock,0.4240306089223403,0.7956448261705754,-6.816771504503773,0.0785706453379858,0.1116020509951919,0.1661777954693459,0.2531357228860667,0.3977052926438367,126.66797978880956,250607.2123721902,15.943555749411669,rock Spotify No No No Yes No No effect I understand.,52,11,0,0,1,0,2.5,0
