target_name,model,cv_f1_mean,cv_f1_std,validation_f1,validation_accuracy,validation_balanced_accuracy,test_f1,test_accuracy,test_balanced_accuracy,test_precision,test_recall
anxiety,random_forest,0.7854640802344572,0.03276397992300321,0.825,0.7021276595744681,0.4714285714285714,0.7659574468085106,0.6451612903225806,0.532258064516129,0.6835443037974683,0.8709677419354839
anxiety,hist_gradient_boosting,0.7879432697089743,0.027542517239033826,0.8108108108108109,0.7021276595744681,0.5535714285714286,0.7647058823529411,0.6559139784946236,0.5645161290322581,0.7027027027027027,0.8387096774193549
anxiety,linear_svm,0.704846095275125,0.015809060582115703,0.696969696969697,0.574468085106383,0.49523809523809526,0.7288135593220338,0.6559139784946236,0.6370967741935485,0.7678571428571429,0.6935483870967742
anxiety,logistic_regression,0.712730155647239,0.01642158160816501,0.696969696969697,0.574468085106383,0.49523809523809526,0.717948717948718,0.6451612903225806,0.6290322580645161,0.7636363636363637,0.6774193548387096
depression,random_forest,0.6082284315915378,0.04909311885238901,0.6428571428571429,0.574468085106383,0.5583333333333333,0.5981308411214953,0.5376344086021505,0.5293023255813953,0.5614035087719298,0.64
depression,linear_svm,0.5771405835898052,0.08343216836829541,0.6415094339622641,0.5957446808510638,0.5898148148148148,0.5858585858585859,0.5591397849462365,0.5574418604651162,0.5918367346938775,0.58
depression,logistic_regression,0.5695729007045179,0.10078188657542353,0.6415094339622641,0.5957446808510638,0.5898148148148148,0.5773195876288659,0.5591397849462365,0.5590697674418605,0.5957446808510638,0.56
depression,hist_gradient_boosting,0.5940890688259108,0.0763378739056839,0.5714285714285714,0.48936170212765956,0.47129629629629627,0.6481481481481481,0.5913978494623656,0.5825581395348837,0.603448275862069,0.7
insomnia,hist_gradient_boosting,0.37085736724988,0.11005311678724923,0.5142857142857142,0.6382978723404256,0.6118421052631579,0.2807017543859649,0.5591397849462365,0.4825396825396825,0.2962962962962963,0.26666666666666666
insomnia,logistic_regression,0.4581598793363499,0.085756420970451,0.5128205128205128,0.5957446808510638,0.5845864661654135,0.30985915492957744,0.4731182795698925,0.4452380952380952,0.2682926829268293,0.36666666666666664
insomnia,linear_svm,0.45782604486983136,0.08095273731290432,0.47368421052631576,0.574468085106383,0.5582706766917294,0.30985915492957744,0.4731182795698925,0.4452380952380952,0.2682926829268293,0.36666666666666664
insomnia,random_forest,0.3817387937854534,0.1256024015978052,0.3870967741935484,0.5957446808510638,0.5507518796992481,0.2545454545454545,0.5591397849462365,0.4738095238095238,0.28,0.23333333333333334
ocd,linear_svm,0.3429108908227635,0.12291430342928845,0.43243243243243246,0.5531914893617021,0.5584415584415584,0.36363636363636365,0.5483870967741935,0.579302987197724,0.2553191489361702,0.631578947368421
ocd,logistic_regression,0.34733520938739865,0.12410698015781058,0.43243243243243246,0.5531914893617021,0.5584415584415584,0.3582089552238806,0.5376344086021505,0.5725462304409672,0.25,0.631578947368421
ocd,random_forest,0.23474088129875606,0.13515578283502486,0.23529411764705882,0.723404255319149,0.5562770562770563,0.20689655172413793,0.7526881720430108,0.5316500711237553,0.3,0.15789473684210525
ocd,hist_gradient_boosting,0.2756148435605142,0.09482764399692366,0.19047619047619047,0.6382978723404256,0.4956709956709957,0.24242424242424243,0.7311827956989247,0.5376955903271693,0.2857142857142857,0.21052631578947367
overall_distress,random_forest,0.6191501952893834,0.027267575976672672,0.6785714285714286,0.6170212765957447,0.6034798534798534,0.5154639175257731,0.4946236559139785,0.49421831637372804,0.5,0.5319148936170213
overall_distress,linear_svm,0.5819390496275335,0.052920844397589685,0.6538461538461539,0.6170212765957447,0.6126373626373627,0.5773195876288659,0.5591397849462365,0.5587419056429233,0.56,0.5957446808510638
overall_distress,logistic_regression,0.5855382938509812,0.05294742561021303,0.6274509803921569,0.5957446808510638,0.5934065934065934,0.5773195876288659,0.5591397849462365,0.5587419056429233,0.56,0.5957446808510638
overall_distress,hist_gradient_boosting,0.6371071284504121,0.03973461073363956,0.6,0.574468085106383,0.5741758241758241,0.5,0.4838709677419355,0.48358001850138754,0.4897959183673469,0.5106382978723404
