Model,Best Parameters,Validation Accuracy,Validation F1 Macro,Validation Balanced Accuracy,Test Accuracy,Test F1 Macro,Test Balanced Accuracy
SVM,"{'model__C': 0.5, 'model__kernel': 'rbf'}",0.7659574468085106,0.7548601232811759,0.750925925925926,0.7526881720430108,0.7497952976956369,0.7488372093023257
HistGradientBoosting,"{'model__learning_rate': 0.05, 'model__max_iter': 200}",0.7446808510638298,0.7298850574712643,0.7259259259259259,0.6989247311827957,0.6929245283018868,0.6923255813953488
Random Forest,"{'model__max_depth': None, 'model__n_estimators': 500}",0.723404255319149,0.7151515151515151,0.7138888888888889,0.6989247311827957,0.6946529080675422,0.693953488372093
Logistic Regression,{'model__C': 0.1},0.723404255319149,0.7102892366050261,0.7074074074074074,0.7311827956989247,0.7266313932980599,0.7255813953488373
Decision Tree,"{'model__max_depth': 5, 'model__min_samples_split': 2}",0.723404255319149,0.7041162227602906,0.700925925925926,0.7311827956989247,0.7249497219921921,0.7239534883720931
MLP,"{'model__alpha': 0.001, 'model__hidden_layer_sizes': (64,), 'model__learning_rate_init': 0.001}",0.6382978723404256,0.6275058275058275,0.6268518518518519,0.6344086021505376,0.6292213883677298,0.6290697674418604
